Policy code;information or procedure
J9;mergers of companies or selling a business
K;Employees
K1;terms of employment stipulated by law or statutory instrument (including working hours, paid leave, holiday entitlements, rights and obligations regarding overtime work, health checks, termination of contracts, dismissals and redundancies)
K2;social security rights and obligations in the Union (registering as employer, registering employees, notifying the end of contract of an employee, paying social contributions, rights and obligations related to pensions)
K3;employment of workers in other Member States (posting of workers, rules on freedom to provide services, residency requirements for workers)
K4;equal treatment (rules prohibiting discrimination in the workplace, rules on equal pay for men and women and equal pay for employees on fixed-term or under permanent employment contracts)
K5;rules on staff representation
L;Taxes
L1;VAT: information on the general rules, rates and exemptions, registering for and paying VAT, obtaining a refund
L2;excise duties: information on the general rules, rates and exemptions, registration for excise tax purposes and payment of excise tax, obtaining a refund
L3;customs duties and other taxes and duties collected on imports
L4;customs procedures for imports and exports under the Union Customs Code
L5;other taxes: payment, rates, tax returns
M;Goods
M1;obtaining CE marking
M2;product rules and requirements
M3;identifying applicable standards, technical specifications and getting products certified
M4;mutual recognition of products not subject to Union specifications
M5;requirements regarding classification, labelling and packaging for hazardous chemicals
M6;distance/off-premises selling: information to be given to customers in advance, confirmation of the contract in writing, withdrawal from a contract, delivering of the goods, other specific obligations
M7;defective products: consumer rights and guarantees, after-sale responsibilities, means of redress for an injured party
M8;certification, labels (EMAS, energy labels, Eco-design, EU eco-label)
M9;recycling and waste management
N;Services
N1;acquiring licences, authorisations or permits with a view to starting and operating a business
N2;notifying the authorities of cross-border activities
N3;recognition of professional qualifications, including vocational education and training
O;Funding a business
O1;obtaining access to finance at the Union level, including Union funding programmes and business grants
O2;obtaining access to finance at national level
O3;initiatives addressed to entrepreneurs (exchanges organised for new entrepreneurs, mentoring programmes, etc.)
P;Public contracts
P1;participating in public tenders: rules and procedures
P2;submitting a bid online in response to a public call for tender
P3;reporting irregularities in relation to the tender process
Q;Health and safety at work
Q1;health and safety obligations in relation to different types of activity, including risk prevention, information and training
R;Birth
R1;Requesting a birth certificate
S;Residence
S1;Requesting proof of residence
T;Studying
T1;Applying for a tertiary education study financing, such as study grants and loans from a public body or institution
T2;Submitting an initial application for admission to public tertiary education institution
T3;Requesting academic recognition of diplomas, certificates or other proof of studies or courses
U;Working
U1;Request for determination of applicable legislation in accordance with Title II of Regulation (EC) No 883/2004
U2;Notifying changes in the personal or professional circumstances of the person receiving social security benefits, relevant for such benefits
U3;Application for a European Health Insurance Card (EHIC)
U4;Submitting an income tax declaration
V;Moving
V1;Registering a change of address
V2;Registering a motor vehicle originating from or already registered in a Member State, in standard procedures
V3;Obtaining stickers for the use of the national road infrastructure: time-based charges (vignette), distance-based charges (toll), issued by a public body or institution
V4;Obtaining emission stickers issued by a public body or institution
W;Retiring
W1;Claiming pension and pre-retirement benefits from compulsory schemes
W2;Requesting information on the data related to pension from compulsory schemes
X;Starting, running and closing a business
X1;Notification of business activity, permission for exercising a business activity, changes of business activity and the termination of a business activity not involving insolvency or liquidation procedures, excluding the initial registration of a business activity with the business register and excluding procedures concerning the constitution of or any subsequent filing by companies or firms within the meaning of the second paragraph of Article 54 TFEU
X2;Registration of an employer (a natural person) with compulsory pension and insurance schemes
X3;Registration of employees with compulsory pension and insurance schemes
X4;Submitting a corporate tax declaration
X5;Notification to the social security schemes of the end of contract with an employee, excluding procedures for the collective termination of employee contracts
X6;Payment of social contributions for employees
